                                      fitness                                         size
                ---------------------------------------------------     -------------------------------
gen     nevals  avg             max             min     std             avg     max     min     std
0       600     3.31644e+93     1.98986e+96     18.8212 8.11681e+94     15063.5 420776  1       56534.3
1       553     23455.1         1.08304e+07     18.3134 444797          5058.25 259523  1       24136.1
2       548     1701.54         463483          18.3134 21435.6         1776.84 135209  1       11554.7
3       559     12700.1         7.17446e+06     18.2855 292773          270.608 53089   1       2707.72
4       535     1.90913e+06     1.1453e+09      14.1649 4.67177e+07     59.4417 8839    1       386.362
5       545     694.083         161520          13.7292 8553.65         73.1683 1306    1       163.287
6       548     1022.76         464091          13.7292 19198.7         104.888 1227    1       169.516
7       558     714.981         94144.5         13.7292 7004.27         118.283 486     1       165.199
8       542     515.734         95582.7         5.92717 5738.42         118.012 484     1       155.95
9       533     999.876         98893.9         5.36533 8654.96         100.612 486     1       131.181
10      552     611578          3.59015e+08     5.36533 1.46469e+07     71.5    473     1       78.8179
11      536     26935.3         8.52613e+06     5.24234 451377          63.0383 464     1       47.7334
12      548     956.147         184119          5.24234 11077.7         62.6567 410     3       34.6377
13      552     958033          5.74333e+08     5.24234 2.34275e+07     64.325  422     1       30.302
14      560     276.723         92754.1         4.87627 3800.99         66.2817 145     5       23.8327
15      532     969848          5.81511e+08     4.87627 2.37203e+07     68.9633 161     1       25.1427
16      551     689.608         111903          4.87627 7424.32         74.6867 164     1       23.44
17      553     1864.07         727659          1.32832 30421.9         78.4183 148     8       22.011
18      551     1257.62         317072          1.05257 16112           81.2833 173     10      23.0641
19      561     66.8042         6229.72         3.38537 347.109         83.15   159     1       23.6933
20      568     90.0081         2796.99         2.91327 329.969         86.5433 163     1       23.3932
21      561     101.58          2854.94         2.87378 359.91          87.7167 153     1       24.8794
22      555     80.6493         2888.29         2.83447 321.314         87.8733 164     15      23.1628
23      533     317.695         92723.3         2.65235 4396.33         88.9933 153     2       23.2404
24      548     69.3425         2288.58         0.997436        281.735         89.8367 197     1       24.2458
25      557     470.839         144437          0.997436        7029.17         91.8733 197     3       25.499
26      561     538.332         94166.3         0.864302        6509.84         94.9567 197     7       27.381
27      543     165.33          66167.2         0.801992        2707.14         97.0733 197     26      28.2582
28      544     233.104         95576.1         0.801992        3910.52         99.7117 217     7       30.6511
29      564     710.341         106548          0.726866        7869.64         103.747 229     7       31.6542
30      546     1022.67         186857          0.726866        11785.4         106.808 217     3       35.0364
31      548     288.962         94893           0.726866        4480.32         105.283 227     3       34.565
32      552     400.445         94106.2         0.726866        5431.84         104.093 214     1       35.259
33      532     76.7302         14273.9         0.726866        634.496         106.357 201     29      31.3417
34      529     302.532         79217.2         0.726866        3830.56         103.577 193     7       30.1305
35      552     958243          5.74522e+08     0.726866        2.34352e+07     102.138 179     29      27.6089
36      527     11728.1         6.98622e+06     0.731921        284970          104.87  194     33      25.9122
37      553     244.503         94136.8         0.751236        3855.99         108.138 198     1       28.1974
38      556     316.583         132638          0.751236        5423.98         110.272 199     1       28.0906
39      534     209.828         94137.2         0.751236        3846.61         114.217 242     1       28.1498
40      577     19471           1.14646e+07     0.722824        467661          114.177 219     3       29.5208
41      548     405277          2.43125e+08     0.692694        9.91727e+06     118.282 244     22      29.4782
42      543     48.644          2826.15         0.692694        257.227         122.785 247     45      32.0969
43      556     61.1397         7120.74         0.692694        391.137         129.563 251     18      37.8045
44      561     91.1961         6369.89         0.686328        489.133         139.882 253     44      42.8438
45      534     68.1071         4905.49         0.68899         384.38          151.427 257     42      45.1202
46      546     506.089         95519.5         0.677079        6377.78         159.332 253     39      43.8515
47      539     81.5716         16528.9         0.65929         764.274         171.923 265     51      38.8085
48      538     52.2739         3383.46         0.65929         284.343         177.93  258     46      38.6747
49      564     50.3898         2822.01         0.65929         268.935         184.06  286     48      35.591
50      540     54.1375         4233.3          0.657503        320.93          183.602 261     3       36.1963
51      557     44.1078         3425.05         0.654201        277.922         187.315 282     48      33.3213
52      550     59.1934         5621.93         0.653066        373.825         187.137 267     48      32.7996
53      539     40.038          3175.01         0.654201        241.126         188.32  275     48      34.5042
54      547     568.414         189687          0.640807        8676.35         191.622 304     4       35.1971
55      546     48.1611         4233.77         0.63607         298.344         193.487 305     49      35.2984
56      549     843.121         464084          0.63607         18931.3         194.727 343     48      34.628
57      525     43.6868         4234.18         0.611856        292.839         197.727 307     1       32.7778
58      552     37.7947         2602.15         0.611856        227.972         199.46  307     44      31.7742
59      554     33.6434         4208.98         0.60775         256.934         201.57  320     6       34.4162
60      543     44085.3         2.64232e+07     0.598706        1.07782e+06     205.795 330     41      39.0723
61      539     31.5377         2850.82         0.580998        225.592         212.307 321     54      44.2834
62      531     41.1789         3197.03         0.580998        260.013         216.165 330     2       48.0465
63      552     7577.97         4.42765e+06     0.580998        180642          217.09  328     48      49.9787
64      561     198.323         94167           0.574696        3849.64         212.267 326     2       50.2313
65      557     32.2811         4242.2          0.564923        283.699         204.203 346     46      45.1362
66      567     59.5458         5895.59         0.574696        380.548         196.402 348     54      42.678
67      531     42.4029         4991.33         0.573408        318.578         193.148 331     4       41.535
